Konum	Zaman (UTC)	Enlem (Derece)	Boylam (Derece)	Rakım (m)	Ortalama_Sıcaklık (Celsius)	Minimum_MPSAS (mag/arcsec^2)	Ortalama_MPSAS (mag/arcsec^2)	Medyan_MPSAS (mag/arcsec^2)	Maksimum_MPSAS (mag/arcsec^2)
GAZIPS	2025-08-21 18:17:51.550	36.268312	32.315311	19	30.43	17.85	17.87	17.87	17.88
SEKI	2025-08-21 19:15:06.082	36.447856	32.155708	217	26.02	20.32	20.34	20.34	20.34
ALANYA	2025-08-21 19:59:07.312	36.545470	31.992129	13	27.54	17.15	17.20	17.20	17.23
AVSALR	2025-08-21 20:38:22.342	36.622837	31.766650	16	26.10	17.19	17.23	17.23	17.26
MANAVG	2025-08-21 21:29:35.921	36.778043	31.436927	6	26.25	17.48	17.49	17.49	17.49
AKSKYL	2025-08-21 21:52:49.234	36.727330	31.553105	4	26.14	19.98	20.00	20.00	20.01
GENCLR	2025-08-21 22:15:25.369	36.790208	31.716782	262	23.98	21.27	21.31	21.31	21.32
MURTIC	2025-08-21 22:41:35.569	36.879210	31.765938	495	23.29	20.75	20.79	20.80	20.81
AKSEKI	2025-08-21 23:06:23.875	37.032130	31.754072	960	23.71	18.09	18.10	18.10	18.10
IBRADI	2025-08-21 23:32:44.197	37.083860	31.598670	987	23.20	21.14	21.28	21.30	21.30
BASLAR	2025-08-21 23:51:04.282	37.143158	31.491038	1025	22.11	21.67	21.72	21.72	21.75
DMRKAP	2025-08-22 00:10:06.520	37.052120	31.415113	826	23.20	18.42	18.43	18.43	18.43
ANKOYL	2025-08-22 00:34:55.773	36.959637	31.348393	216	25.34	20.84	21.10	21.14	21.14
TASAGIL	2025-08-22 01:22:04.614	36.899772	31.207532	11	25.22	18.88	18.92	18.92	18.93
SERIK	2025-08-22 01:38:34.580	36.917217	31.104300	26	25.74	17.56	17.89	17.87	18.17
KAS	2025-08-22 18:15:08.123	36.198745	29.652278	186	28.39	17.17	17.19	17.20	17.20
ELMYOL	2025-08-22 18:31:36.699	36.230275	29.700840	581	26.88	20.87	20.90	20.90	20.93
KURBEL	2025-08-22 19:42:23.126	36.431985	29.670868	1558	20.61	21.56	21.56	21.56	21.57
DUDENK	2025-08-22 20:36:48.124	36.678047	29.919455	1032	21.09	19.80	19.82	19.81	19.85
ELMALI	2025-08-22 20:54:25.403	36.678047	29.919455	1029	21.31	18.41	18.45	18.44	18.51
ELMKOR	2025-08-22 21:24:42.466	36.920122	30.061915	1304	21.16	21.24	21.29	21.29	21.32
KORGRS	2025-08-22 21:45:25.786	37.054487	30.188892	1031	20.81	18.97	19.01	19.02	19.04
KORMER	2025-08-22 22:00:01.374	37.065438	30.196318	995	20.54	16.56	16.56	16.56	16.57
SOGUTC	2025-08-22 22:29:50.411	37.018862	30.369147	1021	21.02	20.03	20.06	20.06	20.09
OSBKAV	2025-08-22 23:22:08.047	37.106532	30.619035	305	22.86	19.62	19.63	19.63	19.65
ANTKUZ	2025-08-22 23:43:17.927	37.040053	30.787038	187	24.38	20.06	20.08	20.08	20.08
AKSKAV	2025-08-23 00:02:28.510	36.946954	30.829701	56	24.60	18.65	18.68	18.69	18.69
HVLKAV	2025-08-23 00:13:20.208	36.933713	30.810222	61	23.89	18.24	18.26	18.26	18.27
ASPBLV	2025-08-23 00:28:10.280	36.897188	30.760922	55	25.25	17.34	17.36	17.36	17.37
ALICAD	2025-08-23 01:11:29.292	36.887380	30.707550	41	26.46	15.66	15.68	15.68	15.70
TUGHB	2025-08-23 20:56:34.708	36.824084	30.335381	2449	12.80	21.32	21.32	21.32	21.33
RTT150	2025-08-23 21:12:09.268	36.825772	30.335356	2459	13.08	21.32	21.32	21.32	21.32
TUG100	2025-08-23 21:33:03.968	36.821567	30.335637	2472	13.24	21.32	21.32	21.32	21.33
KAPICY	2025-08-24 18:09:46.489	36.405304	30.148032	130	26.52	20.96	20.97	20.98	20.98
FINIKE	2025-08-24 18:32:08.305	36.302558	30.149885	3	28.72	17.92	17.95	17.95	17.96
KUMLUC	2025-08-24 19:06:45.768	36.366653	30.285873	34	29.00	17.39	17.40	17.40	17.41
OLDITE	2025-08-24 19:37:08.281	36.433077	30.429695	366	24.68	20.89	21.02	21.04	21.06
KEMER	2025-08-24 20:23:38.499	36.602098	30.559742	13	25.78	16.62	16.79	16.80	16.83
AKDBUL	2025-08-24 21:05:23.679	36.846052	30.602241	5	28.27	18.27	18.28	18.28	18.30
PORTB1	2025-08-24 21:33:19.138	36.851695	30.623442	6	27.39	17.40	17.41	17.41	17.41
SHAKS1	2025-08-24 21:45:44.960	36.851266	30.624131	4	25.86	18.36	18.37	18.37	18.38
SHAKS2	2025-08-24 21:53:33.876	36.851526	30.624246	5	25.61	18.37	18.37	18.37	18.38
PORTB2	2025-08-24 22:03:45.948	36.852133	30.622838	5	26.52	18.03	18.03	18.03	18.03
BELEDC	2025-08-24 22:39:00.249	36.862967	30.636264	5	28.30	16.56	16.57	16.57	16.57
AKDPAR	2025-08-24 22:52:54.258	36.878092	30.656043	6	27.09	18.05	18.06	18.06	18.06
CICEKM	2025-08-24 23:10:38.257	36.901456	30.673103	56	28.30	17.38	17.38	17.38	17.39
CAGMR1	2025-08-24 23:19:08.835	36.901111	30.672137	56	28.60	16.29	16.29	16.29	16.30
CAGMR2	2025-08-24 23:26:55.852	36.901138	30.671876	56	28.76	16.76	16.78	16.78	16.78
322SOK	2025-08-24 23:39:57.435	36.902007	30.674158	57	28.39	18.06	18.07	18.08	18.08
AKMELT	2025-08-25 01:03:23.776	36.892000	30.664001	38	29.30	17.21	17.21	17.21	17.22
AKSOST	2025-08-25 01:13:43.818	36.892115	30.662378	35	28.80	17.81	17.82	17.82	17.82
TUGAUY	2025-08-25 01:32:21.679	36.899697	30.654056	44	27.97	17.77	17.77	17.77	17.78
