Konum	Zaman (UTC)	Enlem (Derece)	Boylam (Derece)	Rakım (m)	Ortalama_Sıcaklık (Celsius)	Minimum_MPSAS (mag/arcsec^2)	Ortalama_MPSAS (mag/arcsec^2)	Medyan_MPSAS (mag/arcsec^2)	Maksimum_MPSAS (mag/arcsec^2)
KONYOL	2025-07-21 19:20:52.581	39.817246	41.146648	1930	17.88	20.59	20.59	20.59	20.60
KONTES	2025-07-21 19:49:54.460	39.780674	41.199365	2507	13.62	20.92	20.93	20.93	20.94
YAYLAG	2025-07-21 20:35:34.706	39.737980	41.006260	2360	16.28	21.21	21.27	21.27	21.29
CATGRS	2025-07-21 21:02:15.626	39.611227	40.980163	1913	16.16	19.27	19.27	19.27	19.27
CATMER	2025-07-21 21:18:17.984	39.612360	40.977192	1920	14.98	18.31	18.33	18.33	18.34
ERAFAD	2025-07-21 21:58:18.719	39.873494	41.220852	1933	18.92	18.59	18.63	18.63	18.64
SEHHAS	2025-07-21 22:28:29.460	39.886651	41.237394	1920	16.29	18.21	18.21	18.21	18.22
CAMLIC	2025-07-21 22:42:58.498	39.895365	41.202274	1834	15.04	18.38	18.38	18.38	18.38
DADASK	2025-07-21 22:57:12.353	39.912306	41.193163	1798	14.65	17.12	17.14	17.14	17.15
AZBPAR	2025-07-21 23:09:46.812	39.922473	41.189448	1784	14.34	18.14	18.16	18.16	18.18
ILICA	2025-07-21 23:37:04.591	39.946104	41.107038	1761	16.06	18.88	18.89	18.89	18.90
GERYOL	2025-07-21 23:54:26.990	39.970819	41.042790	1777	14.63	19.59	19.77	19.80	19.89
HAVALM	2025-07-22 00:15:05.159	39.964035	41.177584	1759	19.19	18.52	18.53	18.53	18.55
ASISYO	2025-07-22 18:49:58.745	39.986560	40.961727	1874	21.38	21.52	21.56	21.56	21.59
ASKGRS	2025-07-22 19:14:56.286	39.921943	40.699960	1657	22.35	19.42	19.45	19.45	19.53
ASKMER	2025-07-22 19:25:07.613	39.919968	40.692787	1664	21.44	18.27	18.27	18.27	18.27
DALLIK	2025-07-22 20:18:34.737	40.176042	40.971767	2349	20.16	21.56	21.65	21.67	21.69
AKBULM	2025-07-22 21:55:01.311	40.411959	40.791668	1652	20.87	19.55	19.56	19.56	19.57
ISPGRS	2025-07-22 22:23:40.144	40.459020	40.963037	1183	22.45	18.76	18.76	18.76	18.77
ISPMER	2025-07-22 22:43:28.224	40.482644	41.000299	1186	20.20	16.86	16.98	17.00	17.00
FSMBUL	2025-07-23 18:31:29.394	39.897667	41.282559	1958	24.56	17.27	17.42	17.44	17.49
IDABAS	2025-07-23 18:41:49.514	39.904285	41.292127	1948	22.47	18.23	18.23	18.23	18.24
ABDURG	2025-07-23 19:04:52.683	39.877729	41.310453	2188	21.17	17.12	17.17	17.18	17.19
KKKAV	2025-07-23 19:22:13.814	39.914421	41.279865	1887	22.41	18.50	18.51	18.51	18.53
SANAYI	2025-07-23 19:39:04.220	39.941948	41.287907	1793	22.69	18.55	18.58	18.58	18.62
OTOGAR	2025-07-23 20:16:29.165	39.961745	41.221504	1759	19.69	18.59	18.62	18.62	18.63
ETUGRS	2025-07-23 20:35:27.989	39.919548	41.242897	1815	19.57	18.40	18.40	18.40	18.40
MNGAVM	2025-07-23 20:51:27.635	39.911259	41.253319	1842	19.90	17.35	17.59	17.64	17.76
ATA50O	2025-07-23 21:11:30.929	39.902969	41.243670	1861	19.66	18.93	18.93	18.93	18.93
ATA50	2025-07-23 21:21:51.979	39.904684	41.244445	1857	18.45	18.89	18.89	18.89	18.89
ERZBB	2025-07-23 21:37:59.047	39.904906	41.260863	1887	19.39	17.94	18.01	18.02	18.03
KARAGB	2025-07-24 18:29:05.188	40.160561	41.433805	1979	18.76	21.59	21.66	21.68	21.69
TORTUK	2025-07-24 18:59:47.088	40.296813	41.551223	1620	21.59	16.75	16.78	16.78	16.80
AKSUYA	2025-07-24 19:25:03.410	40.383090	41.499100	1350	23.71	21.59	21.61	21.61	21.62
UZNDRE	2025-07-24 19:59:52.475	40.532782	41.548439	1096	23.56	18.38	18.50	18.51	18.56
AYVYOL	2025-07-24 20:45:16.298	40.775507	41.722045	729	25.10	20.83	20.84	20.84	20.85
AYVALI	2025-07-24 21:12:34.353	40.752080	41.876052	787	24.56	21.54	21.63	21.66	21.68
HUKKAM	2025-07-24 21:35:54.655	40.760527	41.972872	948	24.68	21.72	21.72	21.72	21.73
COSKUN	2025-07-24 22:14:26.236	40.768312	42.176198	1022	24.04	21.43	21.52	21.54	21.55
YLBOYK	2025-07-24 22:40:42.457	40.649017	42.146832	1130	22.71	20.72	20.73	20.72	20.77
OLTUGRS	2025-07-24 23:01:00.337	40.571585	42.015578	1246	21.53	19.69	19.69	19.69	19.69
OLTMER	2025-07-24 23:20:14.309	40.546003	41.995778	1276	22.20	17.69	17.72	17.71	17.78
NARPER	2025-07-25 00:09:51.491	40.298958	41.874423	1600	20.73	19.66	19.67	19.67	19.68
PASINL	2025-07-27 18:24:20.556	39.977323	41.675215	1664	24.43	19.03	19.07	19.08	19.10
KOPRUK	2025-07-27 18:49:28.346	39.965159	41.864776	1601	23.28	20.38	20.38	20.38	20.40
HRSGRS	2025-07-27 19:18:02.091	40.031392	42.138658	1563	23.47	20.09	20.15	20.16	20.20
HRSMER	2025-07-27 19:34:45.193	40.039715	42.169061	1555	23.86	17.09	17.15	17.16	17.21
ERZMUS	2025-07-27 20:06:53.339	39.963912	41.895060	1610	21.40	20.11	20.24	20.26	20.27
CATALO	2025-07-27 20:55:41.700	39.792278	42.043636	2245	19.78	21.64	21.65	21.65	21.66
KRYAZI	2025-07-27 21:30:39.457	39.701123	42.141617	2282	21.73	18.91	18.92	18.92	18.93
HACIOM	2025-07-27 22:20:23.734	39.603320	41.754012	1833	22.47	21.53	21.53	21.53	21.53
TEKGRS	2025-07-27 22:55:59.441	39.649540	41.512137	1969	18.32	20.06	20.08	20.08	20.09
TEKMER	2025-07-27 23:14:46.672	39.645372	41.506297	1919	16.02	17.76	18.49	18.58	18.60
HSNGRS	2025-07-28 00:19:07.353	39.370035	41.696903	1718	22.38	20.40	20.41	20.41	20.42
HNSMER	2025-07-28 00:30:48.689	39.356548	41.704868	1694	19.14	18.11	18.12	18.12	18.13
KUREKF	2025-07-28 19:38:58.746	39.843151	41.287097	2646	17.00	19.02	19.14	19.14	19.23
IPOLAT	2025-07-28 20:10:20.394	39.880473	41.270128	2010	22.20	17.20	17.22	17.22	17.23
DAGREZ	2025-07-28 20:28:49.722	39.863567	41.241360	2036	22.90	17.40	17.44	17.44	17.48
KUGULU	2025-07-28 20:44:21.254	39.879082	41.249479	1957	22.19	17.60	17.63	17.63	17.64
FORUME	2025-07-28 20:56:57.511	39.889778	41.265405	1957	21.23	17.34	17.36	17.36	17.38
TUVTUR	2025-07-28 21:36:02.068	39.958129	41.293027	1769	22.52	18.53	18.55	18.55	18.56
AORMAN	2025-07-28 22:03:40.122	39.905433	41.225128	1840	20.00	18.69	18.72	18.72	18.73
KYKGIR	2025-07-28 22:19:30.304	39.895799	41.246866	1898	19.12	17.86	17.87	17.87	17.90
