Konum	Zaman (UTC)	Enlem (Derece)	Boylam (Derece)	Rakım (m)	Ortalama_Sıcaklık (Celsius)	Minimum_MPSAS (mag/arcsec^2)	Ortalama_MPSAS (mag/arcsec^2)	Medyan_MPSAS (mag/arcsec^2)	Maksimum_MPSAS (mag/arcsec^2)
ATA50O	2025-07-23 21:11:30.929	39.902969	41.243670	1861	19.66	18.93	18.93	18.93	18.93
KYSAVM	2025-08-19 18:11:13.013	38.721837	35.526997	1063	28.77	17.87	17.87	17.87	17.88
YGNBRC	2025-08-19 18:31:55.050	38.718105	35.491695	1064	25.61	17.03	17.14	17.16	17.22
KURSUN	2025-08-19 18:46:30.390	38.722685	35.486408	1057	26.10	16.76	16.78	16.79	16.80
MSNPAR	2025-08-19 19:05:26.235	38.722590	35.484243	1060	24.13	17.21	17.22	17.21	17.27
KAYADA	2025-08-19 19:22:28.927	38.735234	35.480546	1072	25.40	17.67	17.68	17.68	17.70
BEYBUL	2025-08-19 19:35:51.023	38.749488	35.472815	1051	24.57	17.95	17.95	17.95	17.96
KAPDKY	2025-08-19 20:43:09.467	38.635392	34.889783	1179	21.89	19.68	19.69	19.69	19.69
GOREME	2025-08-19 21:17:05.899	38.643454	34.830520	1104	21.82	18.50	18.53	18.54	18.55
UCHSR1	2025-08-19 21:33:21.555	38.632308	34.799597	1306	21.23	18.01	18.05	18.06	18.06
UCHSR2	2025-08-19 21:48:56.587	38.619740	34.803716	1347	20.60	19.14	19.15	19.15	19.15
NEVSHR	2025-08-19 22:19:04.273	38.618640	34.706098	1246	20.36	18.01	18.02	18.02	18.02
AYEMAH	2025-08-19 23:21:57.111	38.407850	34.000398	990	23.50	18.82	18.92	18.94	19.00
KONMER	2025-08-20 01:37:38.771	37.871010	32.504430	1018	23.32	17.47	17.48	17.49	17.49
TUGHB	2025-08-23 20:56:34.708	36.824084	30.335381	2449	12.80	21.32	21.32	21.32	21.33
PORTB1	2025-08-24 21:33:19.138	36.851695	30.623442	6	27.39	17.40	17.41	17.41	17.41
SHAKS1	2025-08-24 21:45:44.960	36.851266	30.624131	4	25.86	18.36	18.37	18.37	18.38
SHAKS2	2025-08-24 21:53:33.876	36.851526	30.624246	5	25.61	18.37	18.37	18.37	18.38
PORTB2	2025-08-24 22:03:45.948	36.852133	30.622838	5	26.52	18.03	18.03	18.03	18.03
BELEDC	2025-08-24 22:39:00.249	36.862967	30.636264	5	28.30	16.56	16.57	16.57	16.57
AKDPAR	2025-08-24 22:52:54.258	36.878092	30.656043	6	27.09	18.05	18.06	18.06	18.06
CICEKM	2025-08-24 23:10:38.257	36.901456	30.673103	56	28.30	17.38	17.38	17.38	17.39
CAGMR1	2025-08-24 23:19:08.835	36.901111	30.672137	56	28.60	16.29	16.29	16.29	16.30
CAGMR2	2025-08-24 23:26:55.852	36.901138	30.671876	56	28.76	16.76	16.78	16.78	16.78
322SOK	2025-08-24 23:39:57.435	36.902007	30.674158	57	28.39	18.06	18.07	18.08	18.08
AKMELT	2025-08-25 01:03:23.776	36.892000	30.664001	38	29.30	17.21	17.21	17.21	17.22
AKSOST	2025-08-25 01:13:43.818	36.892115	30.662378	35	28.80	17.81	17.82	17.82	17.82
TUGAUY	2025-08-25 01:32:21.679	36.899697	30.654056	44	27.97	17.77	17.77	17.77	17.78
