Zaman (UTC)	Antalya_AllAngle_SC_mean	Antalya_AllAngle_SF_mean	Antalya_NearNadir_SC_mean	Antalya_NearNadir_SF_mean	Antalya_OffNadir_SC_mean	Antalya_OffNadir_SF_mean	DAG_AllAngle_SC_11x11_mean	DAG_AllAngle_SC_1x1_mean	DAG_AllAngle_SC_21x21_mean	DAG_AllAngle_SC_3x3_mean	DAG_AllAngle_SC_5x5_mean	DAG_AllAngle_SC_7x7_mean	DAG_AllAngle_SC_9x9_mean	DAG_AllAngle_SF_11x11_mean	DAG_AllAngle_SF_1x1_mean	DAG_AllAngle_SF_21x21_mean	DAG_AllAngle_SF_3x3_mean	DAG_AllAngle_SF_5x5_mean	DAG_AllAngle_SF_7x7_mean	DAG_AllAngle_SF_9x9_mean	DAG_NearNadir_SC_11x11_mean	DAG_NearNadir_SC_1x1_mean	DAG_NearNadir_SC_21x21_mean	DAG_NearNadir_SC_3x3_mean	DAG_NearNadir_SC_5x5_mean	DAG_NearNadir_SC_7x7_mean	DAG_NearNadir_SC_9x9_mean	DAG_NearNadir_SF_11x11_mean	DAG_NearNadir_SF_1x1_mean	DAG_NearNadir_SF_21x21_mean	DAG_NearNadir_SF_3x3_mean	DAG_NearNadir_SF_5x5_mean	DAG_NearNadir_SF_7x7_mean	DAG_NearNadir_SF_9x9_mean	DAG_OffNadir_SC_11x11_mean	DAG_OffNadir_SC_1x1_mean	DAG_OffNadir_SC_21x21_mean	DAG_OffNadir_SC_3x3_mean	DAG_OffNadir_SC_5x5_mean	DAG_OffNadir_SC_7x7_mean	DAG_OffNadir_SC_9x9_mean	DAG_OffNadir_SF_11x11_mean	DAG_OffNadir_SF_1x1_mean	DAG_OffNadir_SF_21x21_mean	DAG_OffNadir_SF_3x3_mean	DAG_OffNadir_SF_5x5_mean	DAG_OffNadir_SF_7x7_mean	DAG_OffNadir_SF_9x9_mean	Erzurum_AllAngle_SC_mean	Erzurum_AllAngle_SF_mean	Erzurum_NearNadir_SC_mean	Erzurum_NearNadir_SF_mean	Erzurum_OffNadir_SC_mean	Erzurum_OffNadir_SF_mean	TUG_AllAngle_SC_11x11_mean	TUG_AllAngle_SC_1x1_mean	TUG_AllAngle_SC_21x21_mean	TUG_AllAngle_SC_3x3_mean	TUG_AllAngle_SC_5x5_mean	TUG_AllAngle_SC_7x7_mean	TUG_AllAngle_SC_9x9_mean	TUG_AllAngle_SF_11x11_mean	TUG_AllAngle_SF_1x1_mean	TUG_AllAngle_SF_21x21_mean	TUG_AllAngle_SF_3x3_mean	TUG_AllAngle_SF_5x5_mean	TUG_AllAngle_SF_7x7_mean	TUG_AllAngle_SF_9x9_mean	TUG_NearNadir_SC_11x11_mean	TUG_NearNadir_SC_1x1_mean	TUG_NearNadir_SC_21x21_mean	TUG_NearNadir_SC_3x3_mean	TUG_NearNadir_SC_5x5_mean	TUG_NearNadir_SC_7x7_mean	TUG_NearNadir_SC_9x9_mean	TUG_NearNadir_SF_11x11_mean	TUG_NearNadir_SF_1x1_mean	TUG_NearNadir_SF_21x21_mean	TUG_NearNadir_SF_3x3_mean	TUG_NearNadir_SF_5x5_mean	TUG_NearNadir_SF_7x7_mean	TUG_NearNadir_SF_9x9_mean	TUG_OffNadir_SC_11x11_mean	TUG_OffNadir_SC_1x1_mean	TUG_OffNadir_SC_21x21_mean	TUG_OffNadir_SC_3x3_mean	TUG_OffNadir_SC_5x5_mean	TUG_OffNadir_SC_7x7_mean	TUG_OffNadir_SC_9x9_mean	TUG_OffNadir_SF_11x11_mean	TUG_OffNadir_SF_1x1_mean	TUG_OffNadir_SF_21x21_mean	TUG_OffNadir_SF_3x3_mean	TUG_OffNadir_SF_5x5_mean	TUG_OffNadir_SF_7x7_mean	TUG_OffNadir_SF_9x9_mean	Turkiye_AllAngle_SC_mean	Turkiye_AllAngle_SF_mean	Turkiye_NearNadir_SC_mean	Turkiye_NearNadir_SF_mean	Turkiye_OffNadir_SC_mean	Turkiye_OffNadir_SF_mean
2012-01-01	1.117659	1.101462	1.106917	0.986908	1.106360	1.157346	0.368371	0.556682	0.434038	0.379364	0.375424	0.367418	0.367837	0.004260	0.000000	0.086771	0.000000	0.000000	0.000000	0.000000	0.184959	0.504282	0.361699	0.180493	0.218895	0.187656	0.180327	0.000000	0.000000	0.076400	0.000000	0.000000	0.000000	0.000000	0.530605	0.707877	0.582982	0.640789	0.616680	0.560732	0.550446	0.008936	0.000000	0.107113	0.000000	0.000000	0.000000	0.000000	0.421711	0.232983	0.457858	0.209648	0.470989	0.265005	0.173441	0.527534	0.125461	0.185874	0.134206	0.113879	0.147964	0.112502	0.000000	0.143973	0.000000	0.000000	0.000000	0.039023	0.123523	0.000000	0.093517	0.061054	0.042254	0.021558	0.077593	0.071451	0.000000	0.096061	0.000000	0.000000	0.000000	0.021817	0.243707	0.523588	0.160858	0.240089	0.210601	0.211168	0.238331	0.141740	0.000000	0.189253	0.000000	0.000000	0.000000	0.046085	0.972577	0.751034	0.909281	0.661577	0.913024	0.822139
2013-01-01	1.203429	1.218389	1.207266	1.111712	1.204689	1.264228	0.176431	0.000000	0.236285	0.060091	0.130314	0.166540	0.170340	0.008593	0.000000	0.073749	0.000000	0.000000	0.000000	0.000000	0.049141	0.000000	0.167129	0.000000	0.000000	0.010887	0.038202	0.004670	0.000000	0.069682	0.000000	0.000000	0.000000	0.000000	0.153568	0.000000	0.232924	0.245662	0.225982	0.200313	0.162518	0.012915	0.000000	0.105802	0.000000	0.000000	0.000000	0.000000	0.463636	0.257813	0.528227	0.234937	0.455160	0.288784	0.049231	0.000000	0.046796	0.000000	0.000000	0.000000	0.028171	0.055013	0.000000	0.127557	0.000000	0.000000	0.000000	0.023660	0.047167	0.000000	0.051082	0.072785	0.046762	0.023858	0.040144	0.041408	0.000000	0.100067	0.000000	0.000000	0.000000	0.019988	0.053090	0.000000	0.067812	0.000000	0.023608	0.023647	0.044517	0.055187	0.000000	0.139409	0.000000	0.000000	0.000000	0.025745	1.011663	0.813720	1.010907	0.730263	0.869802	0.867776
2014-01-01	1.291609	1.270207	1.273399	1.166202	1.273544	1.306399	0.079667	0.000000	0.170429	0.000000	0.020536	0.042884	0.058803	0.000000	0.000000	0.025312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118276	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022796	0.000000	0.000000	0.000000	0.000000	0.171479	0.000000	0.233134	0.195902	0.177734	0.136667	0.153545	0.000000	0.000000	0.036411	0.000000	0.000000	0.000000	0.000000	0.385065	0.256514	0.436082	0.232617	0.392294	0.280722	0.036179	0.000000	0.077393	0.000000	0.000000	0.000000	0.024226	0.043705	0.000000	0.066946	0.000000	0.000000	0.000000	0.022530	0.070035	0.000000	0.101970	0.000000	0.045322	0.046800	0.059428	0.022059	0.000000	0.041830	0.000000	0.000000	0.000000	0.006442	0.056377	0.000000	0.072835	0.056195	0.020230	0.010322	0.049993	0.048862	0.000000	0.090103	0.000000	0.000000	0.000000	0.023846	0.895866	0.834728	0.863544	0.748002	0.864388	0.889221
2015-01-01	1.365171	1.335368	1.344712	1.241407	1.345713	1.366555	0.227821	0.000000	0.294977	0.247224	0.242391	0.233235	0.231975	0.000000	0.000000	0.025355	0.000000	0.000000	0.000000	0.000000	0.210891	0.000000	0.279232	0.257761	0.235481	0.206774	0.210776	0.000000	0.000000	0.023060	0.000000	0.000000	0.000000	0.000000	0.270791	0.000000	0.318591	0.297736	0.265857	0.251621	0.269376	0.000000	0.000000	0.043008	0.000000	0.000000	0.000000	0.000000	0.520370	0.319082	0.560390	0.304241	0.526790	0.344543	0.024809	0.000000	0.038369	0.000000	0.000000	0.000000	0.006865	0.105978	0.000000	0.102472	0.000000	0.000000	0.000000	0.014305	0.032201	0.000000	0.034798	0.058799	0.063770	0.054399	0.032908	0.070174	0.000000	0.071454	0.000000	0.000000	0.000000	0.000000	0.024755	0.000000	0.027022	0.000000	0.000000	0.000000	0.006669	0.116030	0.000000	0.114576	0.000000	0.000000	0.000000	0.020578	1.154017	0.892928	1.085489	0.817243	1.015403	0.942620
2016-01-01	1.608039	1.436999	1.499571	1.361581	1.445824	1.458908	0.191978	0.000000	0.285906	0.118877	0.107084	0.156364	0.165266	0.000000	0.000000	0.047756	0.000000	0.000000	0.000000	0.000000	0.312483	0.590676	0.468746	0.310406	0.274822	0.280338	0.306770	0.000000	0.000000	0.046935	0.000000	0.000000	0.000000	0.000000	0.300281	0.540540	0.371663	0.371342	0.297437	0.286122	0.288081	0.000000	0.000000	0.052082	0.000000	0.000000	0.000000	0.000000	0.725211	0.345950	0.802758	0.323457	0.764835	0.377040	0.207188	0.000000	0.137318	0.000000	0.000000	0.034775	0.074486	0.291473	0.000000	0.147472	0.000000	0.000000	0.000000	0.127133	0.230898	0.000000	0.123372	0.000000	0.021461	0.076095	0.122528	0.215274	0.000000	0.104498	0.000000	0.000000	0.000000	0.120130	0.242067	0.000000	0.107092	0.000000	0.000000	0.000000	0.067019	0.312470	0.000000	0.172839	0.000000	0.000000	0.000000	0.128403	1.283052	0.961806	1.195491	0.889749	1.075127	1.008898
2017-01-01	1.586047	1.537094	1.592119	1.464391	1.577176	1.572922	0.426984	0.600096	0.591564	0.594086	0.470609	0.441755	0.439004	0.009249	0.000000	0.088248	0.000000	0.000000	0.000000	0.000000	0.351090	0.000000	0.682141	0.385605	0.358839	0.347500	0.352869	0.004362	0.000000	0.069957	0.000000	0.000000	0.000000	0.000000	0.383162	0.639189	0.518529	0.474818	0.415066	0.390582	0.382824	0.018538	0.000000	0.092016	0.000000	0.000000	0.000000	0.012548	0.685473	0.388142	0.824120	0.371750	0.661332	0.413743	0.249176	0.000000	0.091815	0.000000	0.021747	0.053979	0.183050	0.276944	0.000000	0.132535	0.000000	0.000000	0.000000	0.111284	0.222033	0.000000	0.079262	0.000000	0.000000	0.013795	0.157211	0.234756	0.000000	0.125504	0.000000	0.000000	0.000000	0.095117	0.265811	0.000000	0.115312	0.055607	0.063100	0.094997	0.208517	0.307126	0.000000	0.150075	0.000000	0.000000	0.020704	0.122369	1.393783	1.051814	1.417953	0.975828	1.203522	1.102681
2018-01-01	1.721017	1.714557	1.716663	1.645247	1.711533	1.749473	0.241809	0.000000	0.338215	0.291723	0.235296	0.208975	0.209650	0.000000	0.000000	0.030515	0.000000	0.000000	0.000000	0.000000	0.258400	0.551021	0.351769	0.246208	0.278770	0.234380	0.240035	0.000000	0.000000	0.029257	0.000000	0.000000	0.000000	0.000000	0.139634	0.000000	0.218097	0.123603	0.135461	0.138083	0.135815	0.000000	0.000000	0.043356	0.000000	0.000000	0.000000	0.000000	0.673865	0.408724	0.769450	0.390199	0.649808	0.438679	0.112397	0.000000	0.052956	0.061594	0.068203	0.059379	0.106120	0.082986	0.000000	0.040036	0.000000	0.000000	0.000000	0.035670	0.121050	0.000000	0.082074	0.000000	0.080118	0.073487	0.105415	0.095041	0.000000	0.037448	0.000000	0.000000	0.000000	0.030216	0.107150	0.000000	0.057427	0.057685	0.069306	0.075518	0.094243	0.077338	0.000000	0.040368	0.000000	0.000000	0.000000	0.035787	1.304024	1.138384	1.292976	1.073070	1.169894	1.188538
2019-01-01	1.846587	1.770338	1.790991	1.730388	1.785676	1.799759	0.278965	0.507360	0.350126	0.238443	0.224563	0.238026	0.253536	0.000000	0.000000	0.033897	0.000000	0.000000	0.000000	0.000000	0.326166	0.000000	0.388233	0.286372	0.310605	0.327249	0.322584	0.000000	0.000000	0.031743	0.000000	0.000000	0.000000	0.000000	0.232706	0.000000	0.319453	0.000000	0.114540	0.181097	0.196115	0.004157	0.000000	0.058385	0.000000	0.000000	0.000000	0.000000	0.803039	0.440985	0.853713	0.414140	0.811681	0.470170	0.051502	0.000000	0.054447	0.000000	0.000000	0.000000	0.030209	0.057359	0.000000	0.047017	0.000000	0.000000	0.000000	0.035559	0.071918	1.469338	0.052060	0.397941	0.242461	0.123704	0.082837	0.071943	0.000000	0.045672	0.000000	0.000000	0.000000	0.046071	0.078245	0.000000	0.054410	0.000000	0.000000	0.000000	0.058895	0.051713	0.000000	0.053861	0.000000	0.000000	0.000000	0.032460	1.584194	1.206473	1.426834	1.150282	1.286522	1.263052
2020-01-01	1.847592	1.814966	1.849048	1.759603	1.823906	1.842301	0.238525	0.554392	0.321461	0.235985	0.232682	0.257850	0.242961	0.000000	0.000000	0.040080	0.000000	0.000000	0.000000	0.000000	0.373005	0.562734	0.416549	0.414435	0.378418	0.387242	0.393838	0.000000	0.000000	0.040566	0.000000	0.000000	0.000000	0.000000	0.158338	0.000000	0.274622	0.067963	0.046601	0.096853	0.136634	0.000000	0.000000	0.041744	0.000000	0.000000	0.000000	0.000000	0.780564	0.418605	0.833624	0.407992	0.758566	0.434103	0.130311	0.000000	0.066973	0.000000	0.000000	0.037742	0.080558	0.079081	0.000000	0.111211	0.000000	0.000000	0.000000	0.039940	0.114893	0.000000	0.069613	0.000000	0.000000	0.043676	0.081689	0.096545	0.000000	0.114537	0.000000	0.000000	0.000000	0.064822	0.135397	0.000000	0.088540	0.000000	0.027464	0.035608	0.079128	0.068383	0.000000	0.111995	0.000000	0.000000	0.000000	0.035112	1.445614	1.215453	1.495010	1.174032	1.333010	1.259701
2021-01-01	2.007123	2.012163	2.021399	1.980356	2.015240	2.041347	0.427773	0.858983	0.452481	0.724252	0.565188	0.468365	0.430935	0.009511	0.000000	0.082642	0.000000	0.000000	0.000000	0.000000	0.354302	0.946789	0.407029	0.779505	0.582465	0.422518	0.374047	0.008886	0.000000	0.074848	0.000000	0.000000	0.000000	0.000000	0.395376	0.808693	0.402146	0.722942	0.581753	0.471643	0.411431	0.031565	0.000000	0.095462	0.056183	0.040985	0.031645	0.025673	0.800958	0.438244	0.907249	0.424316	0.795605	0.458972	0.052418	0.000000	0.082838	0.000000	0.000000	0.000000	0.030999	0.092978	0.000000	0.146926	0.000000	0.000000	0.000000	0.053598	0.174938	0.000000	0.197453	0.130676	0.099208	0.076098	0.147235	0.103437	0.000000	0.143862	0.000000	0.000000	0.000000	0.061392	0.076013	0.000000	0.124325	0.060361	0.021730	0.022070	0.038814	0.094373	0.000000	0.152657	0.000000	0.000000	0.000000	0.056393	1.729568	1.336988	1.714697	1.286441	1.512248	1.394063
