Zaman (UTC)	Antalya_AllAngle_SC_mean	Antalya_AllAngle_SF_mean	Antalya_NearNadir_SC_mean	Antalya_NearNadir_SF_mean	Antalya_OffNadir_SC_mean	Antalya_OffNadir_SF_mean	DAG_AllAngle_SC_11x11_mean	DAG_AllAngle_SC_1x1_mean	DAG_AllAngle_SC_21x21_mean	DAG_AllAngle_SC_3x3_mean	DAG_AllAngle_SC_5x5_mean	DAG_AllAngle_SC_7x7_mean	DAG_AllAngle_SC_9x9_mean	DAG_AllAngle_SF_11x11_mean	DAG_AllAngle_SF_1x1_mean	DAG_AllAngle_SF_21x21_mean	DAG_AllAngle_SF_3x3_mean	DAG_AllAngle_SF_5x5_mean	DAG_AllAngle_SF_7x7_mean	DAG_AllAngle_SF_9x9_mean	DAG_NearNadir_SC_11x11_mean	DAG_NearNadir_SC_1x1_mean	DAG_NearNadir_SC_21x21_mean	DAG_NearNadir_SC_3x3_mean	DAG_NearNadir_SC_5x5_mean	DAG_NearNadir_SC_7x7_mean	DAG_NearNadir_SC_9x9_mean	DAG_NearNadir_SF_11x11_mean	DAG_NearNadir_SF_1x1_mean	DAG_NearNadir_SF_21x21_mean	DAG_NearNadir_SF_3x3_mean	DAG_NearNadir_SF_5x5_mean	DAG_NearNadir_SF_7x7_mean	DAG_NearNadir_SF_9x9_mean	DAG_OffNadir_SC_11x11_mean	DAG_OffNadir_SC_1x1_mean	DAG_OffNadir_SC_21x21_mean	DAG_OffNadir_SC_3x3_mean	DAG_OffNadir_SC_5x5_mean	DAG_OffNadir_SC_7x7_mean	DAG_OffNadir_SC_9x9_mean	DAG_OffNadir_SF_11x11_mean	DAG_OffNadir_SF_1x1_mean	DAG_OffNadir_SF_21x21_mean	DAG_OffNadir_SF_3x3_mean	DAG_OffNadir_SF_5x5_mean	DAG_OffNadir_SF_7x7_mean	DAG_OffNadir_SF_9x9_mean	Erzurum_AllAngle_SC_mean	Erzurum_AllAngle_SF_mean	Erzurum_NearNadir_SC_mean	Erzurum_NearNadir_SF_mean	Erzurum_OffNadir_SC_mean	Erzurum_OffNadir_SF_mean	TUG_AllAngle_SC_11x11_mean	TUG_AllAngle_SC_1x1_mean	TUG_AllAngle_SC_21x21_mean	TUG_AllAngle_SC_3x3_mean	TUG_AllAngle_SC_5x5_mean	TUG_AllAngle_SC_7x7_mean	TUG_AllAngle_SC_9x9_mean	TUG_AllAngle_SF_11x11_mean	TUG_AllAngle_SF_1x1_mean	TUG_AllAngle_SF_21x21_mean	TUG_AllAngle_SF_3x3_mean	TUG_AllAngle_SF_5x5_mean	TUG_AllAngle_SF_7x7_mean	TUG_AllAngle_SF_9x9_mean	TUG_NearNadir_SC_11x11_mean	TUG_NearNadir_SC_1x1_mean	TUG_NearNadir_SC_21x21_mean	TUG_NearNadir_SC_3x3_mean	TUG_NearNadir_SC_5x5_mean	TUG_NearNadir_SC_7x7_mean	TUG_NearNadir_SC_9x9_mean	TUG_NearNadir_SF_11x11_mean	TUG_NearNadir_SF_1x1_mean	TUG_NearNadir_SF_21x21_mean	TUG_NearNadir_SF_3x3_mean	TUG_NearNadir_SF_5x5_mean	TUG_NearNadir_SF_7x7_mean	TUG_NearNadir_SF_9x9_mean	TUG_OffNadir_SC_11x11_mean	TUG_OffNadir_SC_1x1_mean	TUG_OffNadir_SC_21x21_mean	TUG_OffNadir_SC_3x3_mean	TUG_OffNadir_SC_5x5_mean	TUG_OffNadir_SC_7x7_mean	TUG_OffNadir_SC_9x9_mean	TUG_OffNadir_SF_11x11_mean	TUG_OffNadir_SF_1x1_mean	TUG_OffNadir_SF_21x21_mean	TUG_OffNadir_SF_3x3_mean	TUG_OffNadir_SF_5x5_mean	TUG_OffNadir_SF_7x7_mean	TUG_OffNadir_SF_9x9_mean	Turkiye_AllAngle_SC_mean	Turkiye_AllAngle_SF_mean	Turkiye_NearNadir_SC_mean	Turkiye_NearNadir_SF_mean	Turkiye_OffNadir_SC_mean	Turkiye_OffNadir_SF_mean
2012-01-01	1.007246	1.067370	0.947986	0.965548	0.938366	1.027109	1.041805	0.860887		1.028821	0.992632	0.999817	1.020903	0.584086	0.621637		0.650440	0.637087	0.622128	0.601066	0.709480	0.978777		0.831322	0.820722	0.807464	0.748535	0.584086	0.621637		0.650440	0.637087	0.622128	0.601066	0.638974	0.621637		0.650440	0.654690	0.677337	0.663509	0.584086	0.621637		0.650440	0.637087	0.622128	0.601066	1.012219	0.449796	0.744023	0.427003	0.493619	0.445383	0.565085	0.751661	0.445363	0.577566	0.476992	0.521951	0.566274	0.470787	0.673432	0.361788	0.583592	0.598849	0.511625	0.463606	0.172947	0.000000	0.178402	0.055694	0.062258	0.086559	0.111167	0.187598	0.509715	0.162035	0.249556	0.184678	0.149018	0.141376	0.207992	0.000000	0.174835	0.055694	0.084158	0.130614	0.158064	0.232695	0.505372	0.188771	0.177511	0.211818	0.171751	0.175023	1.270981	0.955720	0.977693	0.773924	0.740727	0.908731
2012-02-01	1.079164	1.115795	1.071576	0.926881	1.047044	1.203625	0.505136	0.548741	0.519971	0.581892	0.481444	0.463319	0.466067	0.621575	0.573215	0.601036	0.629905	0.634669	0.619190	0.611825	0.374729	0.670375	0.432399	0.226184	0.293852	0.306945	0.299368	0.565499	0.573215	0.557625	0.629905	0.624437	0.596459	0.579177	0.578826	0.573215	0.632729	0.658778	0.659586	0.625921	0.597827	0.594502	0.573215	0.582160	0.629905	0.634669	0.616395	0.600489	0.576641	0.501999	0.632667	0.412231	0.574311	0.478665	0.297138	0.634004	0.203829	0.468959	0.327845	0.282545	0.303944	0.498546	0.950967	0.371853	0.935788	0.814769	0.629506	0.536151	0.172523	0.000000	0.139417	0.063258	0.112188	0.083349	0.129374	0.194239	0.565302	0.142879	0.177904	0.154463	0.160096	0.169591	0.248228	0.565302	0.169772	0.235135	0.199862	0.191076	0.268150	0.352273	0.944148	0.276397	0.668911	0.493345	0.418599	0.370322	1.002569	0.933757	0.936938	0.805654	0.914019	1.007941
2012-03-01	1.079538	1.135246	1.051901	1.006299	1.061350	1.242239	0.458577	0.672606		0.577551	0.517478	0.468875	0.454041	0.544125	0.543643		0.613747	0.564425	0.538363	0.545245	0.525904	0.726823		0.695693	0.652582	0.572614	0.541450	0.507782	0.543643		0.642212	0.570103	0.512097	0.507316	0.614801	0.669583		0.651520	0.609455	0.582963	0.612757	0.439112	0.543643		0.593555	0.501739	0.458522	0.438091	0.328587	0.422453	0.318420	0.322479	0.385559	0.370242	0.183459	0.588595	0.153340	0.390408	0.283594	0.179993	0.189573	0.455755	0.812469	0.427549	0.344174	0.381009	0.361189	0.402299	0.146648	0.000000	0.105645	0.139396	0.092920	0.047408	0.099967	0.271706	0.631859	0.217659	0.317426	0.252725	0.150405	0.195341	0.357517	0.524688	0.243767	0.433958	0.381476	0.368946	0.367969	0.480181	0.764772	0.501994	0.349195	0.384173	0.311171	0.375531	0.809462	0.848287	0.795855	0.728215	0.795224	0.976678
2012-04-01	1.108558	1.110373	1.105228	0.997845	1.103967	1.245415	0.171658	0.000000	0.221861	0.312907	0.241546	0.195909	0.169750	0.105091	0.000000	0.162799	0.058117	0.168860	0.151919	0.138092	0.089694	0.000000	0.155325	0.000000	0.111700	0.069802	0.062208	0.000000	0.000000	0.086114	0.000000	0.000000	0.000000	0.000000	0.342159	0.558058	0.326532	0.379509	0.372008	0.352383	0.322473	0.261458	0.603611	0.284238	0.318249	0.275532	0.295402	0.285162	0.239680	0.234175	0.226231	0.213855	0.236972	0.334061	0.086365	0.000000	0.092517	0.065498	0.064897	0.043738	0.055767	0.114176	0.000000	0.150364	0.059602	0.084312	0.053465	0.069343	0.091085	0.000000	0.092339	0.065498	0.064777	0.033050	0.062818	0.069904	0.000000	0.071093	0.000000	0.045084	0.033401	0.034242	0.085250	0.000000	0.089207	0.000000	0.020098	0.010254	0.042589	0.267964	0.000000	0.323869	0.178360	0.173716	0.177511	0.196713	0.779746	0.766115	0.754701	0.694712	0.755991	0.899541
2012-05-01	1.129558	1.167566	1.119686	0.983494	1.119367	1.310331	0.076233	0.000000	0.105190	0.058063	0.042062	0.089665	0.083771	0.343028	0.576352	0.358301	0.495048	0.424301	0.398234	0.373512	0.040145	0.000000	0.078324	0.058063	0.020903	0.043582	0.038846	0.143655	0.000000	0.211060	0.056166	0.084454	0.095286	0.122450	0.021963	0.000000	0.073336	0.000000	0.000000	0.010355	0.012465	0.485090	0.687192	0.520374	0.638823	0.553281	0.506872	0.489514	0.235500	0.259932	0.215579	0.228310	0.214687	0.349538	0.103632	0.000000	0.126601	0.000000	0.000000	0.000000	0.029433	0.167281	0.000000	0.189966	0.055791	0.103489	0.074202	0.099236	0.103632	0.000000	0.125145	0.000000	0.000000	0.000000	0.029433	0.080605	0.000000	0.099705	0.065925	0.023733	0.022911	0.022887	0.103632	0.000000	0.125145	0.000000	0.000000	0.000000	0.029433	0.264842	0.000000	0.316457	0.056980	0.063072	0.067829	0.119324	0.807316	0.853379	0.801024	0.750689	0.800925	0.984690
2012-06-01	1.184106	1.185960	1.182403	1.075158	1.182348	1.235990	0.000000	0.000000	0.066377	0.000000	0.000000	0.000000	0.000000	0.004188	0.000000	0.077183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066377	0.000000	0.000000	0.000000	0.000000	0.009159	0.000000	0.068462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066377	0.000000	0.000000	0.000000	0.000000	0.032359	0.507932	0.115034	0.174986	0.062995	0.032140	0.038599	0.233943	0.238569	0.232880	0.228476	0.232558	0.323366	0.136431	0.000000	0.182453	0.000000	0.000000	0.000000	0.022944	0.142454	0.000000	0.200387	0.000000	0.000000	0.000000	0.040511	0.132676	0.000000	0.181423	0.000000	0.000000	0.000000	0.019994	0.157585	0.000000	0.185242	0.064942	0.114877	0.079297	0.098147	0.132676	0.000000	0.181423	0.000000	0.000000	0.000000	0.019994	0.188353	0.000000	0.240091	0.000000	0.021816	0.011131	0.056386	0.800745	0.793324	0.800198	0.717998	0.800129	0.914971
2012-07-01	1.126581	1.111998	1.123374	1.043748	1.123374	1.158640	0.013186	0.000000	0.094355	0.000000	0.000000	0.000000	0.000000	0.018369	0.000000	0.114414	0.000000	0.000000	0.000000	0.000000	0.013186	0.000000	0.094355	0.000000	0.000000	0.000000	0.000000	0.009117	0.000000	0.104577	0.000000	0.000000	0.000000	0.006331	0.013186	0.000000	0.094355	0.000000	0.000000	0.000000	0.000000	0.041507	0.000000	0.188555	0.000000	0.042161	0.021511	0.013013	0.250506	0.259764	0.249163	0.228810	0.249208	0.349104	0.188962	0.000000	0.208980	0.000000	0.000000	0.000000	0.041600	0.134352	0.000000	0.179238	0.000000	0.000000	0.000000	0.041145	0.195664	0.000000	0.212040	0.000000	0.000000	0.000000	0.041600	0.095234	0.000000	0.146110	0.000000	0.000000	0.000000	0.023989	0.195664	0.000000	0.211311	0.000000	0.000000	0.000000	0.041600	0.161212	0.000000	0.213505	0.066254	0.023852	0.012169	0.056194	0.767594	0.766042	0.767223	0.704421	0.767327	0.859009
2012-08-01	1.142253	1.137063	1.142174	1.074524	1.142178	1.175980	0.000000	0.000000	0.094732	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.086467	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102911	0.000000	0.000000	0.000000	0.000000	0.243647	0.239458	0.240388	0.223653	0.240415	0.267448	0.146999	0.000000	0.177570	0.000000	0.000000	0.000000	0.036754	0.111111	0.000000	0.165622	0.000000	0.000000	0.000000	0.042369	0.146999	0.000000	0.177570	0.000000	0.000000	0.000000	0.036754	0.064928	0.000000	0.111696	0.000000	0.000000	0.000000	0.024933	0.146999	0.000000	0.177570	0.000000	0.000000	0.000000	0.036754	0.141383	0.000000	0.206559	0.000000	0.000000	0.000000	0.047756	0.767479	0.759071	0.762474	0.702755	0.762357	0.820751
2012-09-01	1.180879	1.168594	1.180765	1.066323	1.180775	1.242340	0.000000	0.000000	0.093695	0.000000	0.000000	0.000000	0.000000	0.004390	0.000000	0.098736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093695	0.000000	0.000000	0.000000	0.000000	0.005217	0.000000	0.113083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093695	0.000000	0.000000	0.000000	0.000000	0.008845	0.000000	0.114504	0.000000	0.000000	0.000000	0.006716	0.244128	0.246852	0.244320	0.223307	0.244109	0.287059	0.125294	0.000000	0.215994	0.000000	0.000000	0.000000	0.015217	0.118487	0.000000	0.199139	0.000000	0.000000	0.000000	0.023564	0.125294	0.000000	0.215994	0.000000	0.000000	0.000000	0.015217	0.079322	0.000000	0.150824	0.000000	0.000000	0.000000	0.014530	0.125294	0.000000	0.215994	0.000000	0.000000	0.000000	0.015217	0.170639	0.000000	0.270839	0.000000	0.000000	0.023608	0.056716	0.785078	0.785631	0.785032	0.713722	0.785038	0.865025
2012-10-01	1.197475	1.188877	1.187672	0.980690	1.187694	1.385770	0.000000	0.000000	0.081485	0.000000	0.000000	0.000000	0.000000	0.004143	0.000000	0.089626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.081485	0.000000	0.000000	0.000000	0.000000	0.039949	0.000000	0.140885	0.000000	0.023331	0.023582	0.024649	0.000000	0.000000	0.081485	0.000000	0.000000	0.000000	0.000000	0.056387	0.000000	0.183455	0.000000	0.023882	0.056105	0.067206	0.239175	0.226691	0.238658	0.224304	0.238616	0.292792	0.148059	0.000000	0.193786	0.000000	0.000000	0.000000	0.031893	0.180888	0.000000	0.246456	0.055763	0.040899	0.042964	0.082323	0.148059	0.000000	0.195062	0.000000	0.000000	0.000000	0.031893	0.050450	0.000000	0.116611	0.063137	0.022729	0.011597	0.007015	0.148059	0.000000	0.206710	0.000000	0.000000	0.000000	0.031893	0.366364	0.000000	0.445887	0.178834	0.177570	0.199500	0.258396	0.794019	0.804762	0.790903	0.700717	0.790883	0.980205
